date,channel,campaign_name,spend_usd,impressions,clicks
2024-01-01,paid_search,brand_search_q1,265.38,2813,36
2024-01-01,paid_search,competitor_conquest,325.32,2402,41
2024-01-01,paid_search,expert_generic,315.53,2147,40
2024-01-01,paid_search,industry_healthcare,164.38,1936,71
2024-01-01,paid_search,industry_finance,269.82,11257,120
2024-01-01,paid_search,retargeting_search,349.52,3902,131
2024-01-01,paid_social,linkedin_experts_v1,390.20,1782,26
2024-01-01,paid_social,linkedin_experts_v2,135.25,623,11
2024-01-01,paid_social,meta_lookalike,391.13,1128,28
2024-01-01,paid_social,meta_retargeting,345.64,1986,48
2024-01-01,paid_social,twitter_thought_leaders,213.12,659,19
2024-01-01,linkedin_outreach,outreach_healthcare,188.08,642,17
2024-01-01,linkedin_outreach,outreach_finance,82.42,238,5
2024-01-01,linkedin_outreach,outreach_tech,171.49,1161,12
2024-01-01,linkedin_outreach,outreach_consulting,108.10,292,9
2024-01-02,paid_search,brand_search_q1,168.95,1302,27
2024-01-02,paid_search,competitor_conquest,230.05,927,37
2024-01-02,paid_search,expert_generic,200.74,2556,40
2024-01-02,paid_search,industry_healthcare,338.13,1731,67
2024-01-02,paid_search,industry_finance,231.45,3203,75
2024-01-02,paid_search,retargeting_search,385.44,2822,70
2024-01-02,paid_social,linkedin_experts_v1,203.90,454,17
2024-01-02,paid_social,linkedin_experts_v2,176.40,1133,15
2024-01-02,paid_social,meta_lookalike,287.56,2369,33
2024-01-02,paid_social,meta_retargeting,384.99,3158,76
2024-01-02,paid_social,twitter_thought_leaders,339.07,1527,36
2024-01-02,linkedin_outreach,outreach_healthcare,189.59,966,16
2024-01-02,linkedin_outreach,outreach_finance,82.28,735,13
2024-01-02,linkedin_outreach,outreach_tech,120.67,962,17
2024-01-02,linkedin_outreach,outreach_consulting,183.52,565,13
2024-01-03,paid_search,brand_search_q1,252.48,2525,33
2024-01-03,paid_search,competitor_conquest,359.67,2151,51
2024-01-03,paid_search,expert_generic,266.38,991,39
2024-01-03,paid_search,industry_healthcare,310.02,1596,55
2024-01-03,paid_search,industry_finance,256.95,3157,39
2024-01-03,paid_search,retargeting_search,154.04,1814,37
2024-01-03,paid_social,linkedin_experts_v1,373.66,2456,63
2024-01-03,paid_social,linkedin_experts_v2,238.37,566,19
2024-01-03,paid_social,meta_lookalike,358.77,1183,32
2024-01-03,paid_social,meta_retargeting,227.98,573,15
2024-01-03,paid_social,twitter_thought_leaders,189.50,926,36
2024-01-03,linkedin_outreach,outreach_healthcare,73.70,232,6
2024-01-03,linkedin_outreach,outreach_finance,96.63,372,10
2024-01-03,linkedin_outreach,outreach_tech,99.89,165,6
2024-01-03,linkedin_outreach,outreach_consulting,189.15,1291,24
2024-01-04,paid_search,brand_search_q1,367.05,4330,136
2024-01-04,paid_search,competitor_conquest,255.10,2259,54
2024-01-04,paid_search,expert_generic,233.96,4036,58
2024-01-04,paid_search,industry_healthcare,194.67,1513,30
2024-01-04,paid_search,industry_finance,205.66,1664,44
2024-01-04,paid_search,retargeting_search,219.04,2353,92
2024-01-04,paid_social,linkedin_experts_v1,369.70,2244,45
2024-01-04,paid_social,linkedin_experts_v2,168.59,675,14
2024-01-04,paid_social,meta_lookalike,370.80,1902,27
2024-01-04,paid_social,meta_retargeting,326.88,785,22
2024-01-04,paid_social,twitter_thought_leaders,163.02,532,17
2024-01-04,linkedin_outreach,outreach_healthcare,123.63,374,8
2024-01-04,linkedin_outreach,outreach_finance,199.05,896,18
2024-01-04,linkedin_outreach,outreach_tech,107.54,262,9
2024-01-04,linkedin_outreach,outreach_consulting,186.34,1129,17
2024-01-05,paid_search,brand_search_q1,243.52,1689,37
2024-01-05,paid_search,competitor_conquest,388.24,1588,59
2024-01-05,paid_search,expert_generic,201.83,1087,29
2024-01-05,paid_search,industry_healthcare,235.09,2895,89
2024-01-05,paid_search,industry_finance,338.21,4117,73
2024-01-05,paid_search,retargeting_search,248.47,2825,94
2024-01-05,paid_social,linkedin_experts_v1,303.89,1522,50
2024-01-05,paid_social,linkedin_experts_v2,209.99,1307,22
2024-01-05,paid_social,meta_lookalike,317.79,3397,40
2024-01-05,paid_social,meta_retargeting,348.10,1382,36
2024-01-05,paid_social,twitter_thought_leaders,163.67,1113,31
2024-01-05,linkedin_outreach,outreach_healthcare,121.97,340,12
2024-01-05,linkedin_outreach,outreach_finance,86.46,1320,14
2024-01-05,linkedin_outreach,outreach_tech,106.62,934,18
2024-01-05,linkedin_outreach,outreach_consulting,53.88,366,7
2024-01-06,paid_search,brand_search_q1,203.66,2334,33
2024-01-06,paid_search,competitor_conquest,225.00,1602,36
2024-01-06,paid_search,expert_generic,176.68,736,28
2024-01-06,paid_search,industry_healthcare,223.40,2978,99
2024-01-06,paid_search,industry_finance,286.08,1847,71
2024-01-06,paid_search,retargeting_search,312.93,4272,95
2024-01-06,paid_social,linkedin_experts_v1,318.73,2715,48
2024-01-06,paid_social,linkedin_experts_v2,326.39,1156,41
2024-01-06,paid_social,meta_lookalike,361.39,921,33
2024-01-06,paid_social,meta_retargeting,197.89,767,13
2024-01-06,paid_social,twitter_thought_leaders,177.88,625,14
2024-01-06,linkedin_outreach,outreach_healthcare,59.18,115,4
2024-01-06,linkedin_outreach,outreach_finance,74.25,561,7
2024-01-06,linkedin_outreach,outreach_tech,114.72,487,19
2024-01-06,linkedin_outreach,outreach_consulting,113.70,600,10
2024-01-07,paid_search,brand_search_q1,349.17,9776,153
2024-01-07,paid_search,competitor_conquest,398.00,2630,78
2024-01-07,paid_search,expert_generic,186.70,2062,41
2024-01-07,paid_search,industry_healthcare,247.96,2864,98
2024-01-07,paid_search,industry_finance,382.82,4535,82
2024-01-07,paid_search,retargeting_search,377.04,2145,77
2024-01-07,paid_social,linkedin_experts_v1,203.65,929,30
2024-01-07,paid_social,linkedin_experts_v2,299.41,1324,39
2024-01-07,paid_social,meta_lookalike,151.20,1225,16
2024-01-07,paid_social,meta_retargeting,367.31,657,26
2024-01-07,paid_social,twitter_thought_leaders,387.40,1737,57
2024-01-07,linkedin_outreach,outreach_healthcare,188.94,519,13
2024-01-07,linkedin_outreach,outreach_finance,139.61,454,12
2024-01-07,linkedin_outreach,outreach_tech,158.22,556,16
2024-01-07,linkedin_outreach,outreach_consulting,189.99,1545,16
2024-01-08,paid_search,brand_search_q1,395.48,3178,83
2024-01-08,paid_search,competitor_conquest,183.63,1802,39
2024-01-08,paid_search,expert_generic,166.70,2616,52
2024-01-08,paid_search,industry_healthcare,137.71,1710,22
2024-01-08,paid_search,industry_finance,350.54,1391,45
2024-01-08,paid_search,retargeting_search,383.81,2753,48
2024-01-08,paid_social,linkedin_experts_v1,256.08,3185,45
2024-01-08,paid_social,linkedin_experts_v2,185.21,2359,34
2024-01-08,paid_social,meta_lookalike,308.91,2299,24
2024-01-08,paid_social,meta_retargeting,205.52,1343,14
2024-01-08,paid_social,twitter_thought_leaders,189.99,666,25
2024-01-08,linkedin_outreach,outreach_healthcare,60.59,228,9
2024-01-08,linkedin_outreach,outreach_finance,72.53,489,11
2024-01-08,linkedin_outreach,outreach_tech,195.93,1657,37
2024-01-08,linkedin_outreach,outreach_consulting,74.19,671,10
2024-01-09,paid_search,brand_search_q1,224.57,3056,103
2024-01-09,paid_search,competitor_conquest,250.33,1824,33
2024-01-09,paid_search,expert_generic,396.13,4663,178
2024-01-09,paid_search,industry_healthcare,195.79,2962,66
2024-01-09,paid_search,industry_finance,260.63,2499,37
2024-01-09,paid_search,retargeting_search,272.38,6983,108
2024-01-09,paid_social,linkedin_experts_v1,130.28,438,9
2024-01-09,paid_social,linkedin_experts_v2,133.59,367,14
2024-01-09,paid_social,meta_lookalike,211.05,418,15
2024-01-09,paid_social,meta_retargeting,380.69,792,28
2024-01-09,paid_social,twitter_thought_leaders,248.67,825,33
2024-01-09,linkedin_outreach,outreach_healthcare,86.78,423,8
2024-01-09,linkedin_outreach,outreach_finance,153.23,1018,23
2024-01-09,linkedin_outreach,outreach_tech,184.74,839,15
2024-01-09,linkedin_outreach,outreach_consulting,134.61,315,9
2024-01-10,paid_search,brand_search_q1,188.64,2366,44
2024-01-10,paid_search,competitor_conquest,204.12,2695,41
2024-01-10,paid_search,expert_generic,235.87,1199,36
2024-01-10,paid_search,industry_healthcare,271.69,5075,54
2024-01-10,paid_search,industry_finance,278.07,1607,58
2024-01-10,paid_search,retargeting_search,180.84,1708,48
2024-01-10,paid_social,linkedin_experts_v1,332.19,1045,23
2024-01-10,paid_social,linkedin_experts_v2,129.82,669,15
2024-01-10,paid_social,meta_lookalike,337.27,2415,45
2024-01-10,paid_social,meta_retargeting,193.00,2276,24
2024-01-10,paid_social,twitter_thought_leaders,368.60,1550,27
2024-01-10,linkedin_outreach,outreach_healthcare,185.66,612,15
2024-01-10,linkedin_outreach,outreach_finance,137.62,911,18
2024-01-10,linkedin_outreach,outreach_tech,153.49,778,23
2024-01-10,linkedin_outreach,outreach_consulting,115.12,1054,12
2024-01-11,paid_search,brand_search_q1,181.32,1170,33
2024-01-11,paid_search,competitor_conquest,299.14,1233,38
2024-01-11,paid_search,expert_generic,210.87,1585,51
2024-01-11,paid_search,industry_healthcare,411.04,4378,78
2024-01-11,paid_search,industry_finance,383.65,1563,55
2024-01-11,paid_search,retargeting_search,329.98,3075,103
2024-01-11,paid_social,linkedin_experts_v1,270.50,1063,21
2024-01-11,paid_social,linkedin_experts_v2,307.88,631,24
2024-01-11,paid_social,meta_lookalike,199.70,686,26
2024-01-11,paid_social,meta_retargeting,319.77,1364,44
2024-01-11,paid_social,twitter_thought_leaders,164.11,289,11
2024-01-11,linkedin_outreach,outreach_healthcare,152.38,1227,30
2024-01-11,linkedin_outreach,outreach_finance,134.11,618,19
2024-01-11,linkedin_outreach,outreach_tech,163.00,627,21
2024-01-11,linkedin_outreach,outreach_consulting,159.57,445,15
2024-01-12,paid_search,brand_search_q1,332.50,3519,101
2024-01-12,paid_search,competitor_conquest,258.28,4495,105
2024-01-12,paid_search,expert_generic,323.25,6176,131
2024-01-12,paid_search,industry_healthcare,267.44,1221,40
2024-01-12,paid_search,industry_finance,155.68,737,24
2024-01-12,paid_search,retargeting_search,256.79,4198,94
2024-01-12,paid_social,linkedin_experts_v1,371.41,1812,43
2024-01-12,paid_social,linkedin_experts_v2,309.11,571,21
2024-01-12,paid_social,meta_lookalike,265.01,1055,30
2024-01-12,paid_social,meta_retargeting,256.30,824,23
2024-01-12,paid_social,twitter_thought_leaders,166.27,896,17
2024-01-12,linkedin_outreach,outreach_healthcare,94.26,362,10
2024-01-12,linkedin_outreach,outreach_finance,93.68,241,7
2024-01-12,linkedin_outreach,outreach_tech,196.20,513,13
2024-01-12,linkedin_outreach,outreach_consulting,136.78,395,13
2024-01-13,paid_search,brand_search_q1,375.18,2240,49
2024-01-13,paid_search,competitor_conquest,353.78,1884,56
2024-01-13,paid_search,expert_generic,389.91,1691,54
2024-01-13,paid_search,industry_healthcare,356.97,4312,111
2024-01-13,paid_search,industry_finance,184.05,1215,30
2024-01-13,paid_search,retargeting_search,154.10,709,24
2024-01-13,paid_social,linkedin_experts_v1,279.20,971,26
2024-01-13,paid_social,linkedin_experts_v2,290.65,1484,47
2024-01-13,paid_social,meta_lookalike,277.92,1651,31
2024-01-13,paid_social,meta_retargeting,135.80,741,17
2024-01-13,paid_social,twitter_thought_leaders,317.60,1621,52
2024-01-13,linkedin_outreach,outreach_healthcare,110.15,323,10
2024-01-13,linkedin_outreach,outreach_finance,118.32,256,8
2024-01-13,linkedin_outreach,outreach_tech,152.18,525,15
2024-01-13,linkedin_outreach,outreach_consulting,83.32,174,6
2024-01-14,paid_search,brand_search_q1,279.74,2881,55
2024-01-14,paid_search,competitor_conquest,272.25,4779,99
2024-01-14,paid_search,expert_generic,361.38,6997,89
2024-01-14,paid_search,industry_healthcare,362.61,3130,91
2024-01-14,paid_search,industry_finance,326.59,1697,66
2024-01-14,paid_search,retargeting_search,276.56,12545,137
2024-01-14,paid_social,linkedin_experts_v1,331.02,1719,50
2024-01-14,paid_social,linkedin_experts_v2,196.92,1394,17
2024-01-14,paid_social,meta_lookalike,302.19,1595,37
2024-01-14,paid_social,meta_retargeting,371.18,694,25
2024-01-14,paid_social,twitter_thought_leaders,266.17,1466,28
2024-01-14,linkedin_outreach,outreach_healthcare,158.17,1165,13
2024-01-14,linkedin_outreach,outreach_finance,54.83,781,8
2024-01-14,linkedin_outreach,outreach_tech,115.44,401,8
2024-01-14,linkedin_outreach,outreach_consulting,152.78,1413,28
2024-01-15,paid_search,brand_search_q1,291.89,1779,53
2024-01-15,paid_search,competitor_conquest,319.44,3088,68
2024-01-15,paid_search,expert_generic,159.17,1804,39
2024-01-15,paid_search,industry_healthcare,239.17,2974,34
2024-01-15,paid_search,industry_finance,329.37,2056,47
2024-01-15,paid_search,retargeting_search,163.31,1775,36
2024-01-15,paid_social,linkedin_experts_v1,391.73,1259,27
2024-01-15,paid_social,linkedin_experts_v2,224.35,499,16
2024-01-15,paid_social,meta_lookalike,303.39,3166,46
2024-01-15,paid_social,meta_retargeting,307.16,1642,49
2024-01-15,paid_social,twitter_thought_leaders,268.90,1397,22
2024-01-15,linkedin_outreach,outreach_healthcare,93.57,887,17
2024-01-15,linkedin_outreach,outreach_finance,57.34,376,4
2024-01-15,linkedin_outreach,outreach_tech,104.92,1386,15
2024-01-15,linkedin_outreach,outreach_consulting,132.68,1298,17
2024-01-16,paid_search,brand_search_q1,189.65,2733,47
2024-01-16,paid_search,competitor_conquest,394.91,3292,82
2024-01-16,paid_search,expert_generic,250.03,1224,38
2024-01-16,paid_search,industry_healthcare,334.69,1274,45
2024-01-16,paid_search,industry_finance,278.82,4464,67
2024-01-16,paid_search,retargeting_search,181.48,2400,61
2024-01-16,paid_social,linkedin_experts_v1,334.58,1732,44
2024-01-16,paid_social,linkedin_experts_v2,194.24,422,14
2024-01-16,paid_social,meta_lookalike,378.55,993,25
2024-01-16,paid_social,meta_retargeting,314.03,876,22
2024-01-16,paid_social,twitter_thought_leaders,212.98,1256,28
2024-01-16,linkedin_outreach,outreach_healthcare,171.70,425,15
2024-01-16,linkedin_outreach,outreach_finance,118.81,390,10
2024-01-16,linkedin_outreach,outreach_tech,108.79,1145,20
2024-01-16,linkedin_outreach,outreach_consulting,115.79,290,8
2024-01-17,paid_search,brand_search_q1,137.16,545,20
2024-01-17,paid_search,competitor_conquest,200.33,723,25
2024-01-17,paid_search,expert_generic,382.53,4259,61
2024-01-17,paid_search,industry_healthcare,391.28,2586,85
2024-01-17,paid_search,industry_finance,198.97,1126,40
2024-01-17,paid_search,retargeting_search,276.78,5747,121
2024-01-17,paid_social,linkedin_experts_v1,152.88,1375,27
2024-01-17,paid_social,linkedin_experts_v2,217.69,864,29
2024-01-17,paid_social,meta_lookalike,143.77,1441,27
2024-01-17,paid_social,meta_retargeting,151.90,801,14
2024-01-17,paid_social,twitter_thought_leaders,153.35,2461,29
2024-01-17,linkedin_outreach,outreach_healthcare,79.44,188,5
2024-01-17,linkedin_outreach,outreach_finance,157.73,732,21
2024-01-17,linkedin_outreach,outreach_tech,178.65,511,18
2024-01-17,linkedin_outreach,outreach_consulting,171.93,902,28
2024-01-18,paid_search,brand_search_q1,185.37,2372,47
2024-01-18,paid_search,competitor_conquest,340.50,3456,76
2024-01-18,paid_search,expert_generic,254.41,1172,43
2024-01-18,paid_search,industry_healthcare,331.03,3615,133
2024-01-18,paid_search,industry_finance,195.31,867,33
2024-01-18,paid_search,retargeting_search,300.68,1193,45
2024-01-18,paid_social,linkedin_experts_v1,208.56,2362,32
2024-01-18,paid_social,linkedin_experts_v2,324.59,2041,53
2024-01-18,paid_social,meta_lookalike,375.47,4906,57
2024-01-18,paid_social,meta_retargeting,343.06,1360,24
2024-01-18,paid_social,twitter_thought_leaders,265.31,931,36
2024-01-18,linkedin_outreach,outreach_healthcare,84.41,892,15
2024-01-18,linkedin_outreach,outreach_finance,116.68,1592,18
2024-01-18,linkedin_outreach,outreach_tech,197.64,621,17
2024-01-18,linkedin_outreach,outreach_consulting,169.10,987,11
2024-01-19,paid_search,brand_search_q1,233.85,968,29
2024-01-19,paid_search,competitor_conquest,328.02,1750,42
2024-01-19,paid_search,expert_generic,310.80,2832,108
2024-01-19,paid_search,industry_healthcare,139.46,3713,46
2024-01-19,paid_search,industry_finance,393.05,2117,57
2024-01-19,paid_search,retargeting_search,302.14,2723,97
2024-01-19,paid_social,linkedin_experts_v1,226.38,628,22
2024-01-19,paid_social,linkedin_experts_v2,271.64,2050,22
2024-01-19,paid_social,meta_lookalike,162.57,671,18
2024-01-19,paid_social,meta_retargeting,163.25,744,11
2024-01-19,paid_social,twitter_thought_leaders,270.85,724,18
2024-01-19,linkedin_outreach,outreach_healthcare,120.07,958,15
2024-01-19,linkedin_outreach,outreach_finance,73.34,288,11
2024-01-19,linkedin_outreach,outreach_tech,146.39,283,11
2024-01-19,linkedin_outreach,outreach_consulting,91.08,879,10
2024-01-20,paid_search,brand_search_q1,139.12,1222,44
2024-01-20,paid_search,competitor_conquest,152.75,2191,28
2024-01-20,paid_search,expert_generic,304.92,3930,61
2024-01-20,paid_search,industry_healthcare,190.96,1797,24
2024-01-20,paid_search,industry_finance,200.23,2463,30
2024-01-20,paid_search,retargeting_search,274.84,3479,40
2024-01-20,paid_social,linkedin_experts_v1,307.86,1873,29
2024-01-20,paid_social,linkedin_experts_v2,312.97,1265,33
2024-01-20,paid_social,meta_lookalike,263.07,625,18
2024-01-20,paid_social,meta_retargeting,255.53,440,17
2024-01-20,paid_social,twitter_thought_leaders,126.70,826,10
2024-01-20,linkedin_outreach,outreach_healthcare,82.81,306,10
2024-01-20,linkedin_outreach,outreach_finance,79.67,215,8
2024-01-20,linkedin_outreach,outreach_tech,117.60,347,12
2024-01-20,linkedin_outreach,outreach_consulting,121.04,707,21
2024-01-21,paid_search,brand_search_q1,389.45,4441,129
2024-01-21,paid_search,competitor_conquest,158.28,1424,33
2024-01-21,paid_search,expert_generic,347.97,3892,90
2024-01-21,paid_search,industry_healthcare,322.24,6188,73
2024-01-21,paid_search,industry_finance,261.34,9818,116
2024-01-21,paid_search,retargeting_search,142.78,695,26
2024-01-21,paid_social,linkedin_experts_v1,295.93,1200,39
2024-01-21,paid_social,linkedin_experts_v2,247.56,1233,44
2024-01-21,paid_social,meta_lookalike,205.55,2781,40
2024-01-21,paid_social,meta_retargeting,209.77,1062,15
2024-01-21,paid_social,twitter_thought_leaders,368.86,3092,36
2024-01-21,linkedin_outreach,outreach_healthcare,53.59,112,3
2024-01-21,linkedin_outreach,outreach_finance,194.18,977,13
2024-01-21,linkedin_outreach,outreach_tech,141.48,778,10
2024-01-21,linkedin_outreach,outreach_consulting,67.88,149,4
2024-01-22,paid_search,brand_search_q1,381.64,1692,48
2024-01-22,paid_search,competitor_conquest,235.57,5776,69
2024-01-22,paid_search,expert_generic,230.66,1146,30
2024-01-22,paid_search,industry_healthcare,230.00,1249,46
2024-01-22,paid_search,industry_finance,294.20,1877,45
2024-01-22,paid_search,retargeting_search,286.45,3458,44
2024-01-22,paid_social,linkedin_experts_v1,260.39,3114,46
2024-01-22,paid_social,linkedin_experts_v2,351.41,2189,40
2024-01-22,paid_social,meta_lookalike,360.90,697,25
2024-01-22,paid_social,meta_retargeting,138.69,424,12
2024-01-22,paid_social,twitter_thought_leaders,283.17,1009,26
2024-01-22,linkedin_outreach,outreach_healthcare,92.60,376,8
