engagement_id,expert_id,engagement_type,engagement_date,payout_amount,client_industry
eng_7w7zu5a9e,exp_kabmmuymd,survey,2024-05-04 06:29:39,66.43,Finance
eng_8lupnjwnb,exp_kabmmuymd,survey,2024-05-15 06:29:39,129.98,Retail
eng_026lyw71h,exp_kabmmuymd,survey,2024-06-14 06:29:39,106.12,Technology
eng_rqhl6h8gw,exp_kabmmuymd,interview,2024-07-04 06:29:39,494.97,Manufacturing
eng_t2zp7vt70,exp_kabmmuymd,survey,2024-07-30 06:29:39,81.68,Healthcare
eng_fp51ns3y9,exp_kabmmuymd,survey,2024-08-18 06:29:39,143.75,Technology
eng_b1b1phl7j,exp_8n2kajakp,survey,2024-11-23 00:01:08,110.55,Finance
eng_a8y0ysx4l,exp_9w3gcsye1,survey,2024-12-30 10:52:02,40.90,Manufacturing
eng_5nlnay2ig,exp_bfbsust7z,survey,2024-05-16 05:15:39,57.41,Technology
eng_ylz497kkf,exp_bfbsust7z,survey,2024-06-23 05:15:39,147.63,Consulting
eng_in9v4rk9h,exp_bfbsust7z,survey,2024-07-09 05:15:39,141.74,Consulting
eng_5uucbausg,exp_bfbsust7z,survey,2024-08-15 05:15:39,111.45,Consulting
eng_1m29v6bza,exp_bfbsust7z,survey,2024-09-19 05:15:39,136.40,Legal
eng_wcw5y6qb0,exp_bfbsust7z,survey,2024-10-28 05:15:39,39.65,Telecom
eng_68o97hfpm,exp_gnwb1qnzk,survey,2024-06-19 16:46:10,58.80,Legal
eng_4dryovvy2,exp_gnwb1qnzk,survey,2024-07-18 16:46:10,149.03,Finance
eng_jm3rbg8vv,exp_gnwb1qnzk,interview,2024-08-09 16:46:10,264.49,Retail
eng_vgfy356yn,exp_gnwb1qnzk,interview,2024-09-18 16:46:10,299.11,Consulting
eng_pvh0xssaw,exp_gnwb1qnzk,survey,2024-10-16 16:46:10,44.14,Healthcare
eng_c5dyd5cmr,exp_w1el8kq19,survey,2024-08-09 11:02:11,49.27,Telecom
eng_jkb6u6g3q,exp_w1el8kq19,survey,2024-09-10 11:02:11,76.69,Manufacturing
eng_t6v3hj6a4,exp_lxl70mesf,interview,2024-05-31 17:51:40,353.70,Energy
eng_rk3yurnbw,exp_lxl70mesf,interview,2024-07-15 17:51:40,228.07,Retail
eng_frhr655dj,exp_lxl70mesf,survey,2024-08-16 17:51:40,30.54,Finance
eng_09d03merq,exp_lxl70mesf,survey,2024-09-28 17:51:40,126.18,Technology
eng_0pu9sepui,exp_lxl70mesf,survey,2024-11-01 17:51:40,93.32,Technology
eng_s6alh5cdj,exp_lxl70mesf,survey,2024-11-28 18:51:40,93.97,Manufacturing
eng_pih57uvp3,exp_2aftglb1m,survey,2024-06-21 03:14:41,75.19,Technology
