expert_id,signup_date,signup_source,utm_campaign,utm_medium,utm_source,country,industry
exp_bf33dvrui,2024-10-31 11:51:36,unknown,,,,India,Manufacturing
exp_kabmmuymd,2024-04-01 06:29:39,linkedin_outreach,outreach_tech,outreach,linkedin,France,Consulting
exp_rl200hbsb,2024-11-06 03:56:02,organic,,organic,direct,Brazil,Legal
exp_8n2kajakp,2024-10-05 11:01:08,referral,referral_program,referral,expert_referral,Germany,Telecom
exp_mkx2nu3kp,2024-10-11 01:43:17,linkedin_outreach,outreach_healthcare,outreach,linkedin,Singapore,Energy
exp_34hbj4ueh,2024-08-15 15:40:29,linkedin_outreach,outreach_tech,outreach,linkedin,India,Retail
exp_agjjt86sd,2024-04-20 13:21:10,linkedin_outreach,outreach_finance,outreach,linkedin,Singapore,Retail
exp_227oii0bs,2024-02-08 13:42:23,paid_social,twitter_thought_leaders,social,meta,India,Telecom
exp_5rhkvj98p,2024-09-30 04:11:42,unknown,,,,Germany,Telecom
exp_be7czz3r9,2024-09-30 03:47:42,unknown,,,,Canada,Healthcare
exp_htgkte19t,2024-04-07 06:19:26,organic,,organic,google,Netherlands,Healthcare
exp_n9xpz7v3z,2024-11-03 07:20:25,paid_social,linkedin_experts_v1,social,linkedin,Germany,Healthcare
exp_9w3gcsye1,2024-11-26 02:52:02,referral,referral_program,referral,expert_referral,United States,Media
exp_54bxzdrsn,2024-12-05 17:03:51,linkedin_outreach,outreach_consulting,outreach,linkedin,United States,Legal
exp_l3ii977ll,2024-07-21 03:33:47,organic,,organic,direct,Brazil,Technology
exp_3cb8ljp2e,2024-01-25 16:15:25,paid_search,expert_generic,cpc,google,Australia,Legal
exp_7cfb6iwk3,2024-06-22 13:37:45,paid_search,expert_generic,cpc,google,France,Manufacturing
exp_bfbsust7z,2024-04-18 11:15:39,linkedin_outreach,outreach_healthcare,outreach,linkedin,Canada,Energy
exp_h4z82ydhh,2024-12-12 19:53:49,paid_social,linkedin_experts_v1,social,meta,United Kingdom,Media
exp_ayf6wbeek,2024-07-15 08:10:54,unknown,,,,Singapore,Telecom
exp_gnwb1qnzk,2024-05-27 08:46:10,organic,,organic,direct,Netherlands,Finance
exp_92tkljjoj,2024-04-08 12:00:12,referral,referral_program,referral,expert_referral,Germany,Telecom
exp_whxowxo0f,2024-03-01 02:38:50,referral,referral_program,referral,expert_referral,Netherlands,Manufacturing
